player_name,home_team,away_team,year,team,Match,Competition,Date,Position,Minutes played,total_actions,successful_actions,goals,assists,shots,shots_on_target,xg,total_passes,total_passes_completed,long_passes,long_passes_completed,crosses,accurate_crosses,dribbles,successful_dribbles,total_duels,total_duels_won,aerial_duels,aerial_duels_won,interceptions,losses,losses_in_own_half,recoveries,recoveries_in_own_half,minute_yellow_card_received,minute_red_card_received,defensive_duels,defensive_duels_won,loose_ball_duels,loose_ball_duels_won,slide_tackles_attempted,slide_tackles_won,clearances,fouls,yellow_cards,red_cards,shot_assists,offensive_duels,offensive_duels,touches_inside_box,offsides,progressive_runs_attempted,fouls_drawn,through_passes_attempted,through_passes_completed,xa,second_assists,passes_into_final_third,passes_into_final_third_completed,passes_into_box,passes_into_box_completed,received_passes,forward_passes,forward_passes,back_passes,back_passes,gk_stat_conceded_goals,gk_stat_xcg,gk_stat_shots_against,gk_stat_saves,gk_stat_reflex_saves,gk_stat_box_exits,gk_stat_passes_to_gk,gk_stat_passes_to_gk_completed,gk_stat_goal_kicks_attempted,gk_stat_short_goal_kicks,gk_stat_long_goal_kicks
T. Creech,Ohio State Buckeyes,Michigan Wolverines,2023,Ohio State Buckeyes,Ohio State Buckeyes - Michigan Wolverines 0:0,United States. NCAA D1 Big Ten,10/7/23,CF,16,7,3,0,0,0,0,0,1,1,0,0,0,0,1,1,5,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Xavier Musketeers,2023,Ohio State Buckeyes,Ohio State Buckeyes - Xavier Musketeers 0:0,United States. NCAA D1 Non-conference matches,10/4/23,CF,30,24,9,0,0,2,0,0.53,4,1,0,0,0,0,0,0,17,8,8,3,1,10,2,2,1,0,0,4,3,0,0,0,0,0,0,0,0,0,5,2,5,0,0,2,1,0,0,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Rutgers Scarlet Knights,Ohio State Buckeyes,2023,Ohio State Buckeyes,Rutgers Scarlet Knights - Ohio State Buckeyes 0:2,United States. NCAA D1 Big Ten,9/30/23,CF,55,44,17,0,0,0,0,0,12,6,1,0,0,0,3,1,24,11,10,6,0,11,2,2,2,80,0,0,0,6,2,0,0,0,2,1,0,1,8,3,1,0,0,1,0,0,0.02,0,2,1,0,0,3,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Northwestern Wildcats,Ohio State Buckeyes,2023,Ohio State Buckeyes,Northwestern Wildcats - Ohio State Buckeyes 4:2,United States. NCAA D1 Big Ten,9/24/23,CF,43,28,15,0,0,1,0,0.02,13,12,0,0,0,0,0,0,10,3,5,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,4,1,1,0,0,1,0,0,0.12,0,1,1,1,1,8,2,2,7,6,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Kentucky Wildcats,2023,Ohio State Buckeyes,Ohio State Buckeyes - Kentucky Wildcats 3:0,United States. NCAA D1 Non-conference matches,9/20/23,CF,45,28,14,0,0,0,0,0,10,8,0,0,0,0,0,0,13,6,5,3,0,7,2,2,2,0,0,6,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.04,0,1,0,0,0,9,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Penn State Nittany Lion,2023,Ohio State Buckeyes,Ohio State Buckeyes - Penn State Nittany Lion 0:3,United States. NCAA D1 Big Ten,9/16/23,CF,61,34,20,0,0,1,1,0.07,13,12,0,0,0,0,2,2,16,7,8,2,0,4,2,3,2,0,0,4,3,1,0,0,0,0,0,0,0,0,3,2,1,0,1,0,0,0,0,0,0,0,1,1,7,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Butler Bulldogs,Ohio State Buckeyes,2023,Ohio State Buckeyes,Butler Bulldogs - Ohio State Buckeyes 0:1,United States. NCAA D1 Non-conference matches,9/10/23,CF,75,58,24,0,0,3,2,0.29,18,13,2,1,2,1,1,1,24,8,8,4,1,15,2,3,3,0,0,3,2,4,1,0,0,0,1,0,0,0,9,1,5,0,3,0,1,0,0,0,1,0,2,1,13,2,1,8,7,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Washington Huskies,2023,Ohio State Buckeyes,Ohio State Buckeyes - Washington Huskies 1:1,United States. NCAA D1 Non-conference matches,9/5/23,CF,72,37,19,0,0,0,0,0,14,13,0,0,0,0,1,0,22,6,7,3,0,7,1,0,0,0,0,3,1,4,2,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,1,0,0,11,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,Seton Hall Pirates,2023,Ohio State Buckeyes,Ohio State Buckeyes - Seton Hall Pirates 0:1,United States. NCAA D1 Non-conference matches,9/1/23,CF,93,46,20,0,0,0,0,0,16,11,0,0,1,0,2,1,20,8,7,3,1,13,3,7,5,0,0,3,2,1,0,0,0,0,1,0,0,0,9,3,3,0,1,2,0,0,0,0,1,1,2,2,10,3,2,4,4,0,0,0,0,0,0,0,0,0,0,0
T. Creech,Ohio State Buckeyes,UC Davis Aggies,2023,Ohio State Buckeyes,Ohio State Buckeyes - UC Davis Aggies 1:2,United States. NCAA D1 Non-conference matches,8/28/23,"RWF, CF",86,44,24,1,0,5,3,1.28,20,17,0,0,3,1,0,0,16,4,6,1,1,10,2,4,2,0,0,1,1,6,2,0,0,0,0,0,0,0,3,0,6,0,1,0,0,0,0,0,2,2,2,1,12,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0
