Number,Name,Position,Height,Class,Season,Team,Weight
13,Myles Foster,D,3-Jun,Fr.,2023,Michigan State,180
14,Josh Adam,D,2-Jun,Jr.,2023,Michigan State,172
15,Jacob Cromer,M,11-May,Sr.,2023,Michigan State,166
16,Colin Arce,M,10-May,Fr.,2023,Michigan State,152
17,Jeremy Sharp,D,11-May,So.,2023,Michigan State,160
18,Kyle Schueneman,F,9-May,So.,2023,Michigan State,160
19,Jack Guggemos,M,11-May,So.,2023,Michigan State,150
20,Sean Kerrigan,M,10-May,Jr.,2023,Michigan State,160
21,Aidan Phelan,D,8-May,Fr.,2023,Michigan State,150
22,Jake Spadafora,F,11-May,So.,2023,Michigan State,170
26,Josh Mason,D,5-Jun,So.,2023,Michigan State,190
30,Zac Kelly,GK,1-Jun,R-So.,2023,Michigan State,190
32,Alec Laible,GK,3-Jun,Fr.,2023,Michigan State,203
1,Owen Finnerty,GK,2-Jun,Sr.,2022,Michigan State,195
2,Jack Beck,M,1-Jun,Gr.,2022,Michigan State,174
3,Elijah Howe,D,2-Jun,Jr.,2022,Michigan State,193
4,Chase Inscho,D,1-Jun,R-So.,2022,Michigan State,187
5,Jack Zugay,M,1-Jun,Jr.,2022,Michigan State,160
6,Jonathan Stout,F,10-May,Fr.,2022,Michigan State,
7,Vedad Kovac,M,9-May,Jr.,2022,Michigan State,152
8,Efosa Emovon,F,1-Jun,So.,2022,Michigan State,176
9,Greyson Mercer,F,2-Jun,Jr.,2022,Michigan State,201
10,Gianni Ferri,F,1-Jun,Sr.,2022,Michigan State,177
11,Zack Babiak,F,1-Jun,So.,2022,Michigan State,168
12,Nick Stone,D,10-May,Sr.,2022,Michigan State,154
13,Conner George,F,2-Jun,Sr.,2022,Michigan State,170
14,Josh Adam,D,2-Jun,So.,2022,Michigan State,172
15,Jacob Cromer,M,10-May,Jr.,2022,Michigan State,166
16,Kellan Landefeld,M,8-May,R-Jr.,2022,Michigan State,145
17,Jeremy Sharp,D,11-May,Fr.,2022,Michigan State,160
18,Kyle Schueneman,F,9-May,Fr.,2022,Michigan State,160
19,Jack Guggemos,M,11-May,Fr.,2022,Michigan State,150
20,Tyler Crawford,F,8-May,Fr.,2022,Michigan State,160
21,Jake Spadafora,F,11-May,Fr.,2022,Michigan State,170
22,Will Perkins,D,8-May,R-Sr.,2022,Michigan State,150
23,Louis Sala,M,8-May,Gr.,2022,Michigan State,143
24,Alaa Algahim,F,1-Jun,R-Jr.,2022,Michigan State,155
26,Josh Mason,D,5-Jun,Fr.,2022,Michigan State,190
29,Andrew Nicholsen,GK,3-Jun,R-Jr.,2022,Michigan State,195
30,Zac Kelly,GK,11-May,R-Fr.,2022,Michigan State,185
32,Lance McGrane,GK,2-Jun,So.,2022,Michigan State,199
1,Hayden Evans,GK,6' 3'',Sr.,2024,Michigan,193
